CA,06,001,Alameda County,H1
CA,06,003,Alpine County,H1
CA,06,005,Amador County,H1
CA,06,007,Butte County,H1
CA,06,009,Calaveras County,H1
CA,06,011,Colusa County,H1
CA,06,013,Contra Costa County,H1
CA,06,015,Del Norte County,H1
CA,06,017,El Dorado County,H1
CA,06,019,Fresno County,H1
CA,06,021,Glenn County,H1
CA,06,023,Humboldt County,H1
CA,06,025,Imperial County,H1
CA,06,027,Inyo County,H1
CA,06,029,Kern County,H1
CA,06,031,Kings County,H1
CA,06,033,Lake County,H1
CA,06,035,Lassen County,H1
CA,06,037,Los Angeles County,H1
CA,06,039,Madera County,H1
CA,06,041,Marin County,H1
CA,06,043,Mariposa County,H1
CA,06,045,Mendocino County,H1
CA,06,047,Merced County,H1
CA,06,049,Modoc County,H1
CA,06,051,Mono County,H1
CA,06,053,Monterey County,H1
CA,06,055,Napa County,H1
CA,06,057,Nevada County,H1
CA,06,059,Orange County,H1
CA,06,061,Placer County,H1
CA,06,063,Plumas County,H1
CA,06,065,Riverside County,H1
CA,06,067,Sacramento County,H1
CA,06,069,San Benito County,H1
CA,06,071,San Bernardino County,H1
CA,06,073,San Diego County,H1
CA,06,075,San Francisco County,H6
CA,06,077,San Joaquin County,H1
CA,06,079,San Luis Obispo County,H1
CA,06,081,San Mateo County,H1
CA,06,083,Santa Barbara County,H1
CA,06,085,Santa Clara County,H1
CA,06,087,Santa Cruz County,H1
CA,06,089,Shasta County,H1
CA,06,091,Sierra County,H1
CA,06,093,Siskiyou County,H1
CA,06,095,Solano County,H1
CA,06,097,Sonoma County,H1
CA,06,099,Stanislaus County,H1
CA,06,101,Sutter County,H1
CA,06,103,Tehama County,H1
CA,06,105,Trinity County,H1
CA,06,107,Tulare County,H1
CA,06,109,Tuolumne County,H1
CA,06,111,Ventura County,H1
CA,06,113,Yolo County,H1
CA,06,115,Yuba County,H1
